Title,Description,Director,Publication_Year,Runtime,Genre
Goldfinger,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",Guy Hamilton,1964,110 min,"Action, Adventure, Thriller"
The Birds,A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.,Alfred Hitchcock,1963,119 min,"Drama, Horror, Mystery"
Cape Fear,A lawyer's family is stalked by a man he once helped put in jail.,J. Lee Thompson,1962,106 min,"Drama, Thriller"
Peeping Tom,"A young man murders women, using a movie camera to film their dying expressions of terror.",Michael Powell,1960,101 min,"Drama, Horror, Thriller"
The Magnificent Seven,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.,John Sturges,1960,128 min,"Action, Adventure, Western"
Les yeux sans visage,"A surgeon causes an accident which leaves his daughter disfigured, and goes to extremes to give her a new face.",Georges Franju,1960,90 min,"Drama, Horror"
Invasion of the Body Snatchers,A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.,Don Siegel,1956,80 min,"Drama, Horror, Sci-Fi"
Rebel Without a Cause,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies.",Nicholas Ray,1955,111 min,Drama
The Ladykillers,Five oddball criminals planning a bank robbery rent rooms on a cul-de-sac from an octogenarian widow under the pretext that they are classical musicians.,Alexander Mackendrick,1955,91 min,"Comedy, Crime"
Sabrina,"A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her.",Billy Wilder,1954,113 min,"Comedy, Drama, Romance"
The Quiet Man,"A retired American boxer returns to the village of his birth in Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union.",John Ford,1952,129 min,"Comedy, Drama, Romance"
The Day the Earth Stood Still,An alien lands and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets.,Robert Wise,1951,92 min,"Drama, Sci-Fi"
The African Queen,"In WWI Africa, a gin-swilling riverboat captain is persuaded by a strait-laced missionary to use his boat to attack an enemy warship.",John Huston,1951,105 min,"Adventure, Drama, Romance"
Gilda,A small-time gambler hired to work in a Buenos Aires casino discovers his employer's new wife is his former lover.,Charles Vidor,1946,110 min,"Drama, Film-Noir, Romance"
Fantasia,A collection of animated interpretations of great works of Western classical music.,James Algar,1940,125 min,"Animation, Family, Fantasy"
The Invisible Man,"A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane.",James Whale,1933,71 min,"Horror, Sci-Fi"
Dark Waters,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.,Todd Haynes,2019,126 min,"Biography, Drama, History"
Searching,"After his teenage daughter goes missing, a desperate father tries to find clues on her laptop.",Aneesh Chaganty,2018,102 min,"Drama, Mystery, Thriller"
Once Upon a Time... in Hollywood,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,Quentin Tarantino,2019,161 min,"Comedy, Drama"
Nelyubov,A couple going through a divorce must team up to find their son who has disappeared during one of their bitter arguments.,Andrey Zvyagintsev,2017,127 min,Drama
The Florida Project,"Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney World.",Sean Baker,2017,111 min,Drama
Just Mercy,World-renowned civil rights defense attorney Bryan Stevenson works to free a wrongly condemned death row prisoner.,Destin Daniel Cretton,2019,137 min,"Biography, Crime, Drama"
Gifted,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",Marc Webb,2017,101 min,Drama
The Peanut Butter Falcon,Zak runs away from his care home to make his dream of becoming a wrestler come true.,Tyler Nilson,2019,97 min,"Adventure, Comedy, Drama"
Victoria,A young Spanish woman who has recently moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.,Sebastian Schipper,2015,138 min,"Crime, Drama, Romance"
Mustang,"When five orphan girls are seen innocently playing with boys on a beach, their scandalized conservative guardians confine them while forced marriages are arranged.",Deniz Gamze Ergüven,2015,97 min,Drama
Guardians of the Galaxy Vol. 2,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",James Gunn,2017,136 min,"Action, Adventure, Comedy"
